StudentID,Age,StudyHours,Attendance,PreviousGPA,AssignmentsCompleted,SleepHours,InternetHours,Scholarship_si,Program_contador auditor,Program_ingenieria civil,Program_ingenieria industrial,Program_ingenieria informatica,FinalGrade
STU-10522,-0.3870951161637552,-0.2643429395620457,-0.1002099478585553,0.5249152570992267,-1.1603609970117534,-0.6016825236465203,-0.5775660807466133,1.0,0.0,0.0,1.0,0.0,3.96
STU-10947,8.909592375756553,-0.406168844539769,1.461586932809776,1.4556942023898072,-0.6003729500073086,-0.3967953757478692,0.4834197921055834,0.0,0.0,0.0,0.0,1.0,5.09
STU-11352,0.47771302261952925,0.19659125161555516,0.7776242156928956,0.49713081097115025,0.7665722313984127,-0.24927662926083988,-0.00043640265668198663,0.0,1.0,0.0,0.0,0.0,4.37
STU-12298,0.6939150573153504,1.435879516539947,-0.2970337513454277,-0.864307049304625,0.4054517344199052,-0.6918328687219264,-0.16366499848009702,0.0,1.0,0.0,0.0,0.0,4.02
STU-13527,-0.8194991855553975,-1.0123057479564674,-1.4346753354995503,-1.211612625905588,-1.5157380268414975,-0.577096065898682,-0.6620951750123103,0.0,0.0,1.0,0.0,0.0,3.24
STU-11440,-0.6032971508595764,0.2607505895816682,0.06659822559656975,1.3584486409415384,0.6107806849882016,-1.0524342490235528,-0.35604155784340724,1.0,0.0,0.0,1.0,0.0,4.65
STU-11553,-0.3870951161637552,2.2530668737925432,1.2263824876429634,1.789107555926732,1.0544635222301855,0.8489184834759294,-0.9972967557211087,1.0,0.0,0.0,0.0,1.0,6.63
STU-13546,0.26151098792370814,0.4194605308662633,-2.128479242790776,1.094496402724806,-0.016693101014214482,0.20967058203213837,0.792388205628476,1.0,0.0,0.0,1.0,0.0,4.97
STU-14415,11.071612722714764,-0.7050162871714002,0.33969125293460434,-1.267181518161742,0.4126310683558602,0.012978920049433091,-0.16657979483408653,0.0,1.0,0.0,0.0,0.0,4.17
STU-11738,0.26151098792370814,-1.415834215690704,-0.8579815912830142,-0.364187018999238,-2.488537775163322,1.0538056313745805,1.6289347592234775,1.0,0.0,0.0,0.0,0.0,2.83
STU-11735,-1.2519032549470397,-0.5243570986878716,0.41743665531191815,-0.7531692647923168,-0.21197098407217468,1.1767379201137715,-0.8049201963577983,0.0,0.0,0.0,0.0,1.0,4.32
STU-10686,0.47771302261952925,-1.2655662925595448,-1.1266460830425953,0.4415619187149961,-1.9536773969347172,2.6601208709000064,0.43095345773377153,0.0,0.0,0.0,0.0,1.0,3.11
STU-14277,1.7749252307944559,0.6457066173783457,-0.10316230491085851,-0.3919714651273156,0.1735592482885781,0.5456855045859264,-1.4724085614214055,0.0,1.0,0.0,0.0,0.0,3.73
STU-11715,1.3425211614028136,0.3991996872980172,-1.1433761063389798,0.4832385879071108,0.3846316660056379,-0.3476224602521925,-0.48137780106495814,0.0,0.0,1.0,0.0,0.0,4.24
STU-14530,-0.8194991855553975,-0.2221328487948661,-0.039194568777625824,0.7471908261238431,0.19222551652205894,-1.4458175729889624,-1.041018701030952,0.0,0.0,0.0,1.0,0.0,4.09
STU-14655,0.6939150573153504,-0.8265813485808772,0.14680392551746863,0.691621933867689,-0.5996550166137139,0.09493377920889398,0.1598773968127433,0.0,0.0,0.0,1.0,0.0,4.62
STU-13555,0.47771302261952925,-1.0443854169395237,0.06659822559656975,-1.419995971866165,-0.8451882372233542,0.02117440596537969,0.019967171821244956,0.0,0.0,1.0,0.0,0.0,3.05
STU-12994,-0.6032971508595764,-0.41629926632389186,-1.0931860364498267,-0.8226303801125091,-1.0720551895995147,1.3734295820964768,0.7370070749026747,1.0,1.0,0.0,0.0,0.0,2.58
STU-10322,0.26151098792370814,-0.08537215470920427,-0.5214128873204623,-0.19748034223077562,-0.17751018117959316,0.14410669470456994,1.663912315471352,0.0,1.0,0.0,0.0,0.0,2.61
STU-10564,1.1263191267069925,0.7723368896798843,-0.4663022223441378,0.23317857275441786,1.0544635222301855,-0.9049155025365234,-1.151780962482555,0.0,0.0,1.0,0.0,0.0,4.25
STU-13999,-1.2519032549470397,-0.3740891755567123,-1.2929621969890024,1.4695864254538455,-1.2687689394446655,0.36538481443511356,0.17445137858269102,0.0,0.0,0.0,0.0,0.0,4.52
STU-10173,0.26151098792370814,0.31309110213297064,0.889813783680413,1.789107555926732,-0.6872428906323578,-0.16732177010137972,0.2298325093084926,0.0,0.0,0.0,0.0,0.0,4.76
STU-14145,0.04530895322788702,2.1618930777354355,1.500951693507151,1.6085086560942314,0.7278038281442594,0.9390688285513369,0.7632402420885805,0.0,0.0,1.0,0.0,0.0,6.2
STU-13109,0.26151098792370814,-0.5496831531481794,-0.41611215245498623,-0.44754035738346976,0.1426881123639736,-0.27386308700867823,-0.6650099713662998,0.0,0.0,1.0,0.0,0.0,3.91
STU-12215,-1.0357012202512186,0.22360570970655008,1.3533338408919968,0.1081485651780714,1.0544635222301855,-1.7162686082151821,-1.3295835400759175,1.0,0.0,1.0,0.0,0.0,4.99
STU-11673,0.26151098792370814,-0.9650304462972262,-1.7279428026949903,-1.1838281797775103,-3.1318060958248384,1.4062115257602616,0.8798320962481627,0.0,0.0,0.0,1.0,0.0,2.57
STU-12193,-0.6032971508595764,-0.5378643277333691,0.4971502957241017,0.26096301888249557,-0.9126739762213266,0.7505726524845775,-0.3997635031532506,0.0,0.0,0.0,1.0,0.0,4.32
STU-14617,0.04530895322788702,0.14593914269493988,-0.28128784706647825,0.1498252343701873,1.0544635222301855,-1.7818324955427505,0.8856616889561417,1.0,0.0,0.0,0.0,1.0,3.71
STU-10533,-0.6032971508595764,0.1543811608483756,0.3268977057079567,-1.114367064457318,0.1735592482885781,-0.5197276644870594,0.5358861264773958,0.0,0.0,0.0,0.0,1.0,3.98
STU-14192,-0.3870951161637552,-0.87892186113218,-0.8176327115682057,-1.961792671363668,-2.052034271857293,1.6110986736589128,0.3901463087779179,0.0,0.0,0.0,1.0,0.0,2.52
STU-11985,-0.3870951161637552,-1.9020944613286124,-1.7486093020611113,-0.9754448338169333,-0.9378016449971667,0.33260287077132933,-0.702902323968164,1.0,0.0,0.0,0.0,0.0,3.46
STU-13649,0.26151098792370814,0.8854599329359258,-0.5076352210763811,1.3584486409415384,1.0544635222301855,1.2504972933572858,-1.51030091402327,0.0,0.0,1.0,0.0,0.0,5.11
STU-14038,-1.0357012202512186,0.22529411333723723,0.729402383838611,-0.558678141895778,1.0544635222301855,-0.5525096081508436,0.34642436346807454,1.0,0.0,0.0,1.0,0.0,4.29
STU-13059,0.6939150573153504,0.10372905192776032,-2.4955556362937923,1.0111430643405754,-0.27873878967655025,0.045760863713217304,0.777814223858528,1.0,0.0,0.0,0.0,0.0,3.58
STU-13506,0.04530895322788702,-0.048227274834086155,0.06659822559656975,-0.5725703649598162,0.3752985318888975,0.8407229975599835,0.4222090686718031,0.0,0.0,1.0,0.0,0.0,2.74
STU-11411,0.9101170920111715,0.012555255870652312,-0.6552530736915354,1.5807242099661536,-1.8316287200234924,-2.347321023743028,0.8681729108322043,0.0,0.0,0.0,0.0,0.0,4.03
STU-13000,-0.6032971508595764,0.7942861368788176,0.5256897472296987,-0.10023478078250683,1.0544635222301855,0.9800462581310663,-0.761198251047955,0.0,0.0,0.0,0.0,1.0,4.38
STU-10378,-0.17089308146793408,-0.4922774297048152,-0.7576014515047097,1.1222808488528826,0.3078127928909251,-1.167171051846797,-1.0555926828008997,0.0,1.0,0.0,0.0,0.0,3.89
STU-13326,-1.2519032549470397,0.6541486355317817,0.3416594909694727,0.9972508412765361,0.9510811135524418,-0.536118636318952,-0.5192701536668223,1.0,1.0,0.0,0.0,0.0,5.15
STU-11192,0.9101170920111715,-1.6589643385096582,0.3967701559457971,-0.2252647883588533,-1.1029263255241182,0.07854280737700152,-1.172184536960482,0.0,0.0,0.0,1.0,0.0,3.69
STU-12137,0.9101170920111715,-0.35720513924984054,-1.5655631648183201,0.5804841493553808,-0.6412951534422494,-1.4458175729889624,1.7338674279671014,0.0,0.0,0.0,0.0,1.0,4.01
STU-10611,-0.8194991855553975,0.8111701731856896,0.4528649399395551,1.136173071916922,1.0544635222301855,-0.5279231504030053,-0.14326142400217007,1.0,0.0,1.0,0.0,0.0,5.26
STU-10420,-0.3870951161637552,-0.9498348136210416,0.287532945010583,-1.225504848969626,-0.8107274343307737,-0.5033366926551677,-0.7757722328179028,0.0,0.0,0.0,0.0,0.0,2.66
STU-11914,0.26151098792370814,0.3553011929001502,1.500951693507151,1.3723408640055768,1.0544635222301855,-1.0360432771916601,-0.6650099713662998,0.0,0.0,0.0,0.0,1.0,5.1
STU-12156,1.3425211614028136,0.18983763709280657,-0.9465523028521073,0.31653191113864965,-0.24643178696475618,0.15230218062051654,-0.344382372427449,1.0,0.0,0.0,0.0,1.0,4.04
STU-13582,-0.17089308146793408,0.8398730349073714,0.478452034392849,0.024795226793840854,1.0544635222301855,-1.3474717419976099,-0.930256439579349,1.0,0.0,1.0,0.0,0.0,4.6
STU-12642,0.04530895322788702,0.25906218595098107,0.19896223344148992,0.21928634969037966,0.8555959722042482,1.488166384919722,1.462791367046073,0.0,1.0,0.0,0.0,0.0,4.92
STU-13706,-0.17089308146793408,-0.048227274834086155,-0.6591895497612735,-0.8781992723686632,1.0544635222301855,-0.27386308700867823,-1.5394488775631654,0.0,0.0,0.0,1.0,0.0,3.76
STU-14913,-0.6032971508595764,-0.2542125177779225,0.06659822559656975,-1.2393970720336644,-0.35627559618485893,-1.1589755659308512,-0.9710635885352027,1.0,0.0,1.0,0.0,0.0,3.12
STU-10549,0.47771302261952925,1.4696475891536904,1.500951693507151,-0.8226303801125091,1.0544635222301855,-0.5934870377305738,1.0226571175936507,0.0,1.0,0.0,0.0,0.0,4.55
STU-10758,-1.2519032549470397,0.6136269483952893,-0.6769036920750913,-0.05855811159039094,1.0544635222301855,-1.126193622267067,1.7601005951530073,0.0,0.0,0.0,0.0,1.0,4.2
